Combination,Name_Group_Num,Brand_Group_Num,Name,Brand,Price_Category,Rank_Num,Label_Num,Textura_Piel_Num,Piel_Brillante_Num,Tono_Piel_Num,Granitos_Imperfecciones_Num,Enrojece_Facilidad_Num,Irritacion_Piel_Num,Tirantez_Sequedad_Num,Poros_Abiertos_Num,Alergia_Cosmeticos_Num,Tipo_Piel_Num
1.0,1.0,1.0,Crème de la Mer,LA MER,4.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Facial Treatment Essence,SK-II,4.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Protini™ Polypeptide Cream,DRUNK ELEPHANT,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,The Moisturizing Soft Cream,LA MER,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Your Skin But Better™ CC+™ Cream with SPF 50+,IT COSMETICS,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,The Water Cream,TATCHA,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Lala Retro™ Whipped Cream,DRUNK ELEPHANT,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Virgin Marula Luxury Facial Oil,DRUNK ELEPHANT,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Ultra Facial Cream,KIEHL'S SINCE 1851,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
0.0,1.0,1.0,Little Miss Miracle Limited-Edition Crème de la Mer,LA MER,7.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
0.0,1.0,1.0,Lotus Youth Preserve Moisturizer,FRESH,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Midnight Recovery Concentrate,KIEHL'S SINCE 1851,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,The True Cream Aqua Bomb,BELIF,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Luna Sleeping Night Oil,SUNDAY RILEY,3.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Honeymoon Glow AHA Resurfacing Night Serum with Echinacea GreenEnvy™,FARMACY,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,The Littles™,DRUNK ELEPHANT,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Ultra Repair® Cream Intense Hydration,FIRST AID BEAUTY,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Moisture Surge 72-Hour Auto-Replenishing Hydrator,CLINIQUE,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
0.0,1.0,1.0,Rose Deep Hydration Moisturizer,FRESH,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
0.0,1.0,1.0,R.N.A. POWER Face Cream,SK-II,5.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Crème de la Mer Mini,LA MER,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
0.0,1.0,1.0,COMPLEXION RESCUE™ Tinted Moisturizer Broad Spectrum SPF 30,BAREMINERALS,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
0.0,1.0,1.0,Bio-Performance Advanced Super Revitalizing Cream,SHISEIDO,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Black Tea Firming Overnight Mask,FRESH,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
0.0,1.0,1.0,The True Cream Moisturizing Bomb,BELIF,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
0.0,1.0,1.0,Charlotte's Magic Cream,CHARLOTTE TILBURY,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Virgin Marula Luxury Facial Oil Mini,DRUNK ELEPHANT,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Dr. Andrew Weil For Origins™ Mega-Mushroom Relief & Resilience Soothing Treatment Lotion,ORIGINS,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Dramatically Different Moisturizing Lotion+,CLINIQUE,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,GenOptics Aura Essence Serum,SK-II,5.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
0.0,1.0,1.0,Black Tea Kombucha Antioxidant Essence,FRESH,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Pure One Step Camellia Cleansing Oil,TATCHA,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Sheer Transformation® Perfecting Moisturizer,OLEHENRIKSEN,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
0.0,1.0,1.0,100 percent Pure Argan Oil,JOSIE MARAN,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Your Skin But Better CC+ Cream Oil-Free Matte with SPF 40,IT COSMETICS,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
0.0,1.0,1.0,Unicorn Essence Antioxidant Primer Serum,FARSÁLI,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Water Sleeping Mask,LANEIGE,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
0.0,1.0,1.0,Water Bank Moisture Cream,LANEIGE,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Facial Treatment Essence Mini,SK-II,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
0.0,1.0,1.0,Premium Beauty Balm SPF 45,DR. JART+,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Luminous Dewy Skin Mist,TATCHA,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
0.0,1.0,1.0,Benefiance WrinkleResist24 Night Cream,SHISEIDO,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Dramatically Different Moisturizing Gel,CLINIQUE,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Goodnight Glow Retin-ALT Sleeping Crème,OLEHENRIKSEN,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,U.F.O. Ultra-Clarifying Face Oil,SUNDAY RILEY,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Watermelon Glow Sleeping Mask,GLOW RECIPE,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Pink Cloud Rosewater Moisture Crème,HERBIVORE,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
0.0,1.0,1.0,Radiance Drops - Rainforest of the Sea™ Collection,TARTE,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Tidal Brightening Enzyme Water Cream,SUNDAY RILEY,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Beauty Elixir,CAUDALIE,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Grape Water,CAUDALIE,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Adaptogen Deep Moisture Cream,YOUTH TO THE PEOPLE,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,The Renewal Oil,LA MER,5.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Squalane + Vitamin C Rose Oil,BIOSSANCE,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen,TARTE,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
0.0,1.0,1.0,Eudermine Revitalizing Essence,SHISEIDO,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,GinZing™ Energy-Boosting Gel Moisturizer,ORIGINS,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
0.0,1.0,1.0,Micro Essence Skin Activating Treatment Lotion,ESTÉE LAUDER,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Beauty Water,SON & PARK,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,The Silk Cream,TATCHA,3.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,C-Rush™ Brightening Gel Crème,OLEHENRIKSEN,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Color Control Cushion Compact Broad Spectrum SPF 50+,AMOREPACIFIC,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Vitamin Enriched Face Base Priming Moisturizer,BOBBI BROWN,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,Cicapair ™ Tiger Grass Color Correcting Treatment SPF 30,DR. JART+,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
